"Name","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Don Gullett","5.89","3.12","1.89","0.74","15.9 %","8.4 %","7.5 %",".228","1.21",".256","76.7 %","87","97","","3.03","3.37","-0.34","","","1005134"
"Elmer Smith","3.98","3.05","1.31","0.15","","","",".252","1.29",".282","56.2 %","88","94","","3.31","3.38","-0.07","","","1012134"
"Ed Heusser","2.31","2.19","1.05","0.45","6.2 %","5.8 %","0.3 %",".257","1.25",".265","71.9 %","92","98","","3.18","3.38","-0.20","","","1005756"
"Joe Beggs","2.33","2.39","0.97","0.41","6.3 %","6.5 %","-0.2 %",".245","1.21",".253","74.2 %","74","98","","2.56","3.38","-0.82","","","1000776"
"Lee Viau","3.78","3.02","1.25","0.24","","","",".252","1.28",".277","57.3 %","95","100","","3.34","3.39","-0.05","","","1013420"
"Will White","2.29","1.59","1.45","0.22","","","",".246","1.10",".259","61.7 %","79","112","","2.51","3.41","-0.90","","","1013897"
"Bill Phillips","2.59","2.48","1.04","0.18","","","",".283","1.39",".302","58.6 %","106","97","","3.86","3.42","0.44","","","1010282"
"Jesse Duryea","3.68","2.61","1.41","0.30","","","",".257","1.26",".281","57.7 %","84","93","","3.03","3.44","-0.41","","","1003599"
"Dolf Luque","3.27","2.55","1.28","0.26","8.7 %","6.8 %","1.9 %",".254","1.26",".274","68.7 %","84","94","","3.09","3.48","-0.39","","","1007843"
"Mat Latos","7.68","2.55","3.01","0.83","20.7 %","6.9 %","13.8 %",".235","1.18",".280","74.5 %","85","89","98","3.31","3.51","-0.20","3.74","3.78","3815"
"Pete Donohue","2.42","1.75","1.38","0.26","6.3 %","4.6 %","1.7 %",".280","1.33",".294","65.1 %","95","90","","3.73","3.52","0.21","","","1003390"
"Pink Hawley","1.78","2.42","0.74","0.19","","","",".283","1.38",".294","62.9 %","99","99","","3.75","3.52","0.23","","","1005517"
"Jakie May","4.65","2.96","1.57","0.24","11.9 %","7.6 %","4.3 %",".276","1.43",".313","66.9 %","98","87","","3.99","3.52","0.47","","","1008301"
"Mario Soto","7.54","3.42","2.21","0.89","20.3 %","9.2 %","11.1 %",".216","1.19",".253","73.3 %","93","95","","3.47","3.53","-0.06","","","1012289"
"Joe Nuxhall","5.35","2.93","1.83","0.82","14.0 %","7.7 %","6.3 %",".257","1.32",".284","72.6 %","96","90","","3.80","3.54","0.26","","","1009665"
"Billy Rhines","2.90","2.79","1.04","0.11","","","",".264","1.32",".286","58.3 %","81","87","","3.27","3.56","-0.29","","","1010880"
"Tom Seaver","6.06","2.96","2.05","0.85","16.4 %","8.0 %","8.4 %",".226","1.18",".252","75.1 %","86","97","","3.18","3.56","-0.38","","","1011708"
"Johnny Vander Meer","5.55","4.76","1.17","0.40","14.4 %","12.4 %","2.1 %",".228","1.38",".263","72.7 %","94","96","","3.41","3.57","-0.16","","","1013350"
"Bucky Walters","3.36","3.08","1.09","0.42","9.0 %","8.2 %","0.8 %",".239","1.25",".255","73.5 %","82","98","","2.93","3.58","-0.65","","","1013583"
"Eppa Rixey","2.05","1.88","1.09","0.22","5.4 %","5.0 %","0.5 %",".271","1.29",".283","67.1 %","85","91","","3.33","3.58","-0.26","","","1011008"
"Frank Pastore","5.02","2.66","1.89","0.73","13.1 %","7.0 %","6.2 %",".264","1.34",".291","67.8 %","116","98","","4.30","3.59","0.72","","","1010048"
"Tony Mullane","3.44","3.21","1.07","0.25","","","",".246","1.28",".268","59.0 %","88","102","","3.15","3.60","-0.45","","","1009291"
"Ron Robinson","5.94","2.93","2.03","0.78","15.7 %","7.7 %","8.0 %",".255","1.31",".288","71.1 %","95","93","","3.66","3.60","0.06","","","1011076"
"Ray Starr","2.32","3.46","0.67","0.34","6.2 %","9.3 %","-3.1 %",".230","1.25",".239","74.6 %","94","110","","3.07","3.61","-0.54","","","1012435"
"Harry Gumbert","2.88","3.01","0.96","0.49","7.5 %","7.8 %","-0.3 %",".266","1.39",".278","71.8 %","98","98","","3.61","3.61","-0.01","","","1005141"
"Art Fowler","4.08","2.66","1.54","0.85","10.6 %","6.9 %","3.7 %",".272","1.37",".288","68.9 %","103","87","","4.24","3.62","0.62","","","1004268"
"Ted Breitenstein","2.29","3.15","0.73","0.10","","","",".270","1.39",".287","62.8 %","90","96","","3.56","3.66","-0.10","","","1001383"
"Elmer Riddle","3.03","3.94","0.77","0.36","7.9 %","10.3 %","-2.4 %",".245","1.37",".260","73.5 %","93","108","","3.20","3.72","-0.53","","","1010946"
"Ross Grimsley","3.53","2.41","1.47","0.85","9.5 %","6.5 %","3.0 %",".254","1.25",".263","76.8 %","96","111","","3.26","3.74","-0.48","","","1005071"
"Red Lucas","2.06","1.55","1.32","0.42","5.5 %","4.2 %","1.4 %",".265","1.23",".272","66.2 %","93","94","","3.64","3.75","-0.10","","","1007808"
"Jim Merritt","4.83","2.21","2.19","1.04","12.6 %","5.8 %","6.9 %",".269","1.32",".288","71.1 %","113","104","","4.26","3.75","0.51","","","1008789"
"Joey Jay","5.78","3.16","1.83","0.95","15.2 %","8.3 %","6.9 %",".248","1.31",".274","73.6 %","100","101","","3.80","3.76","0.04","","","1006373"
"Bob Purkey","3.60","1.97","1.82","0.88","9.6 %","5.3 %","4.3 %",".255","1.22",".264","72.6 %","89","99","","3.49","3.78","-0.28","","","1010572"
"Sammy Ellis","6.32","3.40","1.86","1.00","16.5 %","8.9 %","7.6 %",".247","1.33",".276","71.4 %","110","104","","4.13","3.78","0.35","","","1003753"
"Joe Price","6.14","3.26","1.88","0.90","16.2 %","8.6 %","7.6 %",".242","1.29",".271","73.9 %","96","103","","3.56","3.79","-0.23","","","1010530"
"Jack Billingham","4.44","2.96","1.50","0.77","11.6 %","7.8 %","3.9 %",".263","1.35",".283","72.1 %","108","107","","3.85","3.80","0.05","","","1000970"
"Tom Hume","4.46","3.02","1.48","0.71","11.6 %","7.9 %","3.8 %",".262","1.36",".284","71.4 %","103","103","","3.83","3.80","0.03","","","1006179"
