"Name","Pos","Inn","rSB","rGDP","rARM","rGFP","rPM","DRS","BIZ","Plays","RZR","OOZ","CPP","RPP","TZL","FSR","ARM","DPR","RngR","ErrR","UZR","UZR/150","Def","playerid"
"Gookie Dawkins","SS","125.0","","0","","0","0","0","0","0","","0","","","","","","-0.3","-0.7","-0.4","-1.5","-18.3","-0.8","316"
"Arismendy Alcantara","RF","22.2","","","0","0","0","0","4","4","1.000","4","","","","","-0.7","","0.0","0.0","-0.7","-17.4","-0.8","10711"
"Reggie Taylor","RF","42.1","","","0","0","-1","-1","9","6",".667","0","","","","","-0.3","","-0.4","0.1","-0.6","-48.5","-0.8","358"
"Adam Rosales","1B","84.2","","0","","0","-1","0","12","10",".833","6","","","","0","","-0.2","-0.4","0.4","-0.1","-2.0","-0.8","9682"
"Kenny Kelly","RF","3.0","","","0","0","0","0","0","0","","0","","","","","-0.2","","-0.6","0.0","-0.8","-29.3","-0.8","1084"
"Fred Lewis","RF","21.1","","","0","0","-1","-1","5","5","1.000","0","","","","0","0.0","","0.0","-0.8","-0.7","-37.0","-0.8","4693"
"Jason Romano","LF","39.0","","","1","0","-2","-1","8","4",".500","1","","","","","1.1","","-1.8","0.1","-0.6","-38.3","-0.8","1278"
"Stephen Smitherman","LF","93.1","","","1","0","1","2","22","13",".591","1","","","","","0.5","","-1.0","0.1","-0.4","-2.7","-0.9","1758"
"Danny Richar","2B","56.2","","0","","0","-2","-2","15","13",".867","1","","","","","","-0.4","-0.6","0.0","-1.0","-21.6","-0.9","3767"
"Jack Hannahan","3B","215.0","","0","","0","-2","-2","48","36",".750","7","","","","0","","0.2","-0.8","-0.7","-1.2","-7.7","-0.9","3692"
"Skip Schumaker","CF","75.0","","","1","0","-1","0","10","8",".800","4","","","","-1","-0.1","","-1.0","0.1","-1.0","-24.6","-0.9","3704"
"Ivan De Jesus","1B","68.1","","0","","-1","0","-1","8","5",".625","2","","","","0","","0.0","-0.1","-0.1","-0.3","-10.5","-0.9","9886"
"Chris Dickerson","LF","467.2","","","3","0","1","4","82","73",".890","30","","","","2","0.2","","1.9","-0.6","1.5","3.9","-0.9","7095"
"Kristopher Negron","RF","9.0","","","0","0","0","0","3","3","1.000","0","","","","0","-0.7","","0.1","-0.3","-0.9","-63.1","-0.9","5306"
"Tucker Barnhart","RF","1.0","","","0","0","0","0","2","0",".000","0","","","","0","0.3","","-1.2","0.0","-0.9","-158.9","-0.9","10200"
"Chris Dickerson","RF","129.0","","","-1","0","0","-1","27","24",".889","10","","","","1","0.2","","-0.7","0.2","-0.3","-3.2","-1.0","7095"
"Danny Richar","3B","19.2","","0","","0","-1","-1","2","1",".500","0","","","","","","","-0.4","-0.6","-1.0","-74.6","-1.0","3767"
"Wilson Valdez","2B","99.0","","0","","0","-4","-4","27","21",".778","2","","","","0","","0.2","-1.1","-0.3","-1.2","-17.5","-1.1","1863"
"Phillip Ervin","RF","29.0","","","0","0","0","0","7","7","1.000","3","","","","","-0.8","","0.0","-0.3","-1.0","-48.5","-1.1","14738"
"Wilton Guerrero","3B","16.0","","0","","0","0","0","0","0","","0","","","","","","0.0","-0.5","-0.6","-1.2","-173.0","-1.1","1378"
"Jolbert Cabrera","RF","17.0","","","0","0","-1","-1","2","1",".500","0","","","","","-0.2","","-0.9","0.0","-1.0","-145.5","-1.1","373"
"Jordan Pacheco","3B","31.0","","0","","0","0","0","3","0",".000","1","","","","","","","-1.3","0.1","-1.2","-179.6","-1.1","2677"
"Luis Lopez","3B","29.0","","0","","0","-2","-2","7","4",".571","0","","","","","","","-0.7","-0.5","-1.2","-59.7","-1.1","695"
"Scott Schebler","LF","85.2","","","1","0","-3","-2","14","13",".929","4","","","","0","0.3","","-0.3","-0.7","-0.7","-10.7","-1.2","12225"
"Jermaine Clark","LF","9.0","","","0","0","-1","-1","4","1",".250","0","","","","","-0.1","","-1.1","0.0","-1.1","-167.0","-1.2","1664"
"Adam Duvall","RF","43.2","","","0","0","-2","-2","6","3",".500","2","","","","0","-0.3","","-0.7","0.1","-0.9","-39.5","-1.2","10950"
"Jay Bruce","LF","41.0","","","-1","0","-2","-3","3","2",".667","1","","","","","-0.8","","-0.2","0.0","-1.0","-39.9","-1.2","9892"
"Willie Bloomquist","RF","27.1","","","0","0","0","0","4","4","1.000","2","","","","","-0.5","","-0.6","0.0","-1.1","-47.1","-1.2","1066"
"Felipe Lopez","2B","77.2","","0","","0","1","1","11","9",".818","2","","","","","","0.2","-0.4","-1.2","-1.4","-43.6","-1.2","1311"
"Wilson Valdez","3B","57.2","","0","","0","0","1","15","11",".733","1","","","","0","","-0.2","-0.3","-0.8","-1.4","-29.3","-1.3","1863"
"Jerry Hairston","3B","277.1","","0","","1","0","1","45","25",".556","13","","","","-2","","0.3","1.0","-3.1","-1.8","-12.3","-1.3","144"
"Scooter Gennett","2B","769.1","","-2","","-1","-5","-8","191","145",".759","25","","","","","","-0.8","-1.7","-0.1","-2.6","-6.1","-1.3","10339"
"Quinton McCracken","CF","40.0","","","0","0","0","0","12","11",".917","4","","","","","0.1","","-0.7","-0.7","-1.4","-34.8","-1.3","1377"
"Henry Rodriguez","2B","19.2","","0","","0","0","0","8","4",".500","0","","","","","","0.0","-1.4","0.1","-1.4","-198.6","-1.3","7983"
"Ray Olmedo","3B","6.0","","0","","0","-2","-2","3","0",".000","0","","","","","","","-1.5","0.1","-1.4","-209.6","-1.4","1718"
"Ramon Santiago","3B","194.0","","0","","0","0","-2","38","30",".790","5","","","","-1","","-0.8","-0.2","-0.7","-1.7","-10.0","-1.4","1417"
"John Vander Wal","RF","43.0","","","1","0","2","3","18","11",".611","1","","","","","0.3","","-1.7","0.1","-1.2","-18.5","-1.4","853"
"Jerry Hairston","SS","488.1","","-2","","2","-3","-3","113","88",".779","22","","","","-2","","-0.5","-2.6","-0.8","-3.9","-12.9","-1.4","144"
"Miguel Cairo","3B","751.1","","0","","0","-4","-3","166","112",".675","32","","","","-4","","0.4","-3.7","0.5","-2.8","-5.3","-1.5","1412"
"Phillip Ervin","CF","63.0","","","-1","-1","0","-2","19","15",".790","6","","","","","-1.3","","-0.1","-0.3","-1.6","-38.3","-1.5","14738"
"Ken Griffey Jr.","LF","8.0","","","0","0","0","0","0","0","","0","","","","","0.0","","-1.5","0.0","-1.5","-224.7","-1.5","327"
"Wilton Guerrero","SS","26.0","","0","","0","0","0","0","0","","0","","","","","","0.3","-1.6","-0.5","-1.7","-91.1","-1.6","1378"
"DeWayne Wise","RF","21.0","","","0","0","-1","-1","1","0",".000","0","","","","","-0.5","","-1.0","0.0","-1.5","-168.1","-1.6","1554"
"Donald Lutz","1B","39.2","","0","","0","-2","-2","8","4",".500","0","","","","","","0.2","-1.0","-0.5","-1.3","-42.0","-1.6","10154"
"Jay Bruce","1B","26.0","","0","","0","-1","-1","5","2",".400","0","","","","0","","","0.0","-1.4","-1.5","-72.7","-1.7","9892"
"Aaron Holbert","2B","28.0","","0","","0","-2","-2","10","7",".700","0","","","","","","-0.5","-0.7","-0.5","-1.7","-54.7","-1.7","1960"
"Tyler Holt","LF","62.2","","","0","0","0","0","7","5",".714","7","","","","0","-0.4","","-1.1","0.1","-1.4","-30.3","-1.7","11391"
"Chris Denorfia","CF","128.1","","","1","0","-1","0","29","24",".828","9","","","","","-0.3","","-1.5","-0.1","-1.9","-20.9","-1.7","4400"
"Jim Edmonds","CF","26.0","","","0","0","-2","-2","9","7",".778","0","","","","","0.0","","-1.8","0.0","-1.8","-68.2","-1.7","1153"
"Brennan Boesch","RF","37.2","","","0","0","-1","-1","7","6",".857","1","","","","0","-0.2","","-1.5","0.1","-1.6","-62.8","-1.8","914"
"Ray Olmedo","SS","432.1","","-1","","0","-3","-4","111","95",".856","21","","","","","","-0.2","1.6","-5.5","-4.1","-12.6","-1.9","1718"
"Scooter Gennett","3B","71.0","","0","","0","-1","-1","15","8",".533","5","","","","","","0.2","-1.1","-1.0","-2.0","-40.2","-1.9","10339"
"Andy Machado","SS","149.0","","0","","0","-2","-2","32","25",".781","2","","","","","","-0.4","-0.7","-1.5","-2.6","-30.9","-1.9","1853"
"Paul Janish","2B","78.0","","0","","1","-2","-1","16","11",".688","1","","","","0","","0.2","-1.9","-0.4","-2.1","-43.4","-2.0","7412"
"Adam Rosales","3B","448.1","","0","","0","-4","-4","84","58",".691","19","","","","-2","","0.4","-1.9","-1.3","-2.8","-9.5","-2.0","9682"
"Ray Olmedo","2B","296.2","","0","","-2","-6","-8","73","60",".822","12","","","","","","0.1","-1.5","-1.2","-2.5","-11.9","-2.0","1718"
"Brayan Pena","1B","409.2","","0","","-1","1","0","67","56",".836","2","","","","-1","","0.2","-0.6","1.7","1.2","5.4","-2.3","3231"
"Jason Bourgeois","CF","271.1","","","1","0","-4","-3","65","59",".908","13","","","","-2","0.0","","-2.6","-0.2","-2.8","-11.9","-2.3","2225"
"Jeff Keppinger","SS","1271.1","","0","","-2","-16","-18","353","287",".813","38","","","","","","-0.4","-12.3","3.8","-8.9","-9.6","-2.4","3856"
"Javier Valentin","1B","140.0","","0","","0","-3","-3","24","16",".667","3","","","","","","0.1","-2.0","0.7","-1.2","-10.1","-2.4","759"
"Jorge Cantu","1B","104.1","","0","","0","-1","-1","9","5",".556","3","","","","","","0.0","-1.8","0.3","-1.6","-29.0","-2.5","2521"
"Patrick Kivlehan","RF","154.0","","","0","0","-4","-4","27","20",".741","12","","","","","1.2","","-1.5","-1.4","-1.7","-10.5","-2.5","13910"
"Roger Bernadina","RF","40.1","","","0","0","0","0","6","6","1.000","1","","","","0","-0.3","","-2.1","0.1","-2.3","-68.9","-2.5","6421"
"Jacob Cruz","RF","208.2","","","1","0","3","4","67","39",".582","2","","","","","0.3","","-2.2","0.4","-1.5","-10.8","-2.6","463"
"Tyler Holt","RF","99.1","","","-1","-1","-2","-4","12","11",".917","3","","","","0","-1.4","","-0.8","-0.2","-2.3","-36.6","-2.8","11391"
"Felipe Lopez","SS","2699.1","","-6","","-2","-19","-27","774","622",".804","112","","","","","","-4.5","-2.5","-9.9","-16.9","-8.1","-3.0","1311"
"Ivan De Jesus","LF","124.2","","","-1","-1","-4","-6","28","24",".857","6","","","","0","1.1","","-2.0","-1.4","-2.4","-8.9","-3.0","9886"
"Russell Branyan","1B","260.2","","0","","0","1","1","11","10",".909","3","","","","","","-0.1","-0.5","-0.2","-0.8","-5.2","-3.1","370"
"Jason Bourgeois","RF","36.0","","","0","0","-2","-2","5","3",".600","1","","","","0","0.0","","-3.0","0.1","-2.9","-106.3","-3.1","2225"
"Jose Peraza","LF","71.0","","","-1","0","0","-1","10","10","1.000","3","","","","0","-1.0","","-2.0","0.2","-2.8","-48.0","-3.1","13593"
"Jose Guillen","LF","153.0","","","-1","0","1","0","43","26",".605","5","","","","","-0.8","","0.0","-1.6","-2.4","-15.9","-3.2","57"
"Aaron Boone","SS","139.2","","0","","0","-1","-1","13","11",".846","1","","","","","","-0.7","-2.6","-0.8","-4.1","-32.9","-3.4","311"
"Miguel Cairo","1B","267.2","","0","","0","-1","-2","44","33",".750","11","","","","-1","","0.0","-0.9","-0.1","-1.1","-4.8","-3.4","1412"
"Ryan Freel","LF","367.0","","","6","1","-4","3","135","88",".652","10","","","","","3.5","","-5.9","0.8","-1.5","-3.1","-3.4","1207"
"Aaron Boone","2B","161.1","","-1","","0","-2","-3","54","46",".852","5","","","","","","-1.4","-3.6","1.1","-3.8","-24.7","-3.6","311"
"Todd Hollandsworth","RF","118.1","","","0","0","-1","-1","23","19",".826","3","","","","","-1.0","","-2.2","0.2","-3.0","-34.2","-3.6","433"
"Jesse Winker","RF","202.1","","","0","0","-4","-4","32","29",".906","11","","","","","-0.3","","-2.3","-0.1","-2.6","-21.0","-3.7","13590"
"Ramon Hernandez","1B","282.2","","0","","-1","-5","-6","56","39",".696","7","","","","0","","0.3","0.0","-1.5","-1.2","-3.6","-3.7","918"
"Jose Guillen","RF","717.0","","","4","0","6","10","168","108",".643","10","","","","","2.6","","-2.7","0.0","0.0","0.1","-3.7","57"
"Joey Votto","LF","51.0","","","0","-1","-3","-4","18","14",".778","0","","","","","-1.7","","-1.1","-0.7","-3.5","-64.9","-3.7","4314"
"Austin Kearns","CF","340.2","","","1","0","-4","-3","87","66",".759","22","","","","","0.7","","-5.6","0.4","-4.5","-14.2","-3.9","332"
"Juan Castro","3B","708.0","","0","","1","-6","-7","156","106",".680","23","","","","","","0.7","-7.2","1.4","-5.2","-9.6","-3.9","315"
"Juan Encarnacion","RF","207.0","","","0","0","0","0","0","0","","0","","","","","-1.8","","0.0","-1.1","-3.0","-15.1","-4.0","320"
"Jose Peraza","CF","113.0","","","0","0","-5","-5","28","24",".857","3","","","","0","-0.8","","-3.7","0.2","-4.3","-40.3","-4.1","13593"
"Yonder Alonso","LF","112.2","","","-1","-2","-3","-6","20","17",".850","5","","","","0","-1.1","","-2.7","-0.1","-3.9","-40.3","-4.5","2530"
"Brennan Boesch","CF","60.0","","","-1","0","-1","-2","15","12",".800","5","","","","-1","-1.3","","-3.8","0.1","-4.9","-73.9","-4.8","914"
"Jeff Conine","1B","431.2","","0","","0","-1","-1","64","44",".688","10","","","","","","-0.1","-0.8","-0.2","-1.1","-3.9","-4.8","131"
"Skip Schumaker","RF","136.2","","","0","0","-3","-3","24","22",".917","3","","","","-1","-0.8","","-2.7","-0.6","-4.2","-40.5","-4.9","3704"
"Brandon Larson","3B","498.1","","0","","1","-6","-5","107","67",".626","15","","","","","","0.2","-5.0","-1.3","-6.0","-15.2","-5.2","336"
"Wily Mo Pena","LF","133.2","","","-2","-1","-5","-8","46","18",".391","0","","","","","-2.2","","-2.9","-0.4","-5.5","-50.6","-6.2","344"
"Xavier Paul","LF","494.2","","","-2","-2","-8","-12","75","62",".827","22","","","","-3","-1.8","","-1.8","-0.4","-4.1","-12.8","-6.6","5963"
"Joe Randa","3B","716.2","","0","","0","-7","-7","163","115",".706","29","","","","","","0.4","-11.3","3.0","-8.0","-13.2","-6.7","623"
"Scott Schebler","RF","1322.2","","","6","4","-6","4","230","201",".874","76","","","","-1","5.4","","-4.2","-1.4","-0.1","-0.3","-6.9","12225"
"Tim Hummel","3B","353.1","","0","","0","-7","-7","86","54",".628","17","","","","","","-0.7","-5.5","-2.4","-8.6","-27.7","-8.0","238"
"Eugenio Suarez","SS","854.2","","1","","-3","-10","-12","256","188",".734","45","","","","-4","","0.5","-7.9","-5.2","-12.7","-18.7","-8.3","12552"
"Ruben Mateo","RF","451.2","","","-1","0","-2","-3","100","65",".650","3","","","","","0.1","","-6.6","0.4","-6.1","-16.6","-8.4","340"
"Jonny Gomes","RF","269.1","","","1","0","-5","-4","57","46",".807","11","","","","-2","0.8","","-8.5","0.4","-7.2","-31.5","-8.6","1845"
"Marlon Byrd","LF","754.2","","","-1","1","1","1","118","107",".907","46","","","","-3","-0.3","","-5.8","1.0","-5.1","-8.0","-9.0","950"
"Skip Schumaker","LF","518.2","","","-1","-2","-4","-7","78","70",".897","29","","","","-4","-2.9","","-6.4","-0.4","-9.7","-23.8","-12.4","3704"
"Todd Frazier","1B","662.1","","0","","1","-7","-5","114","78",".684","11","","","","2","","0.5","-6.4","-0.8","-6.8","-11.9","-12.5","785"
"Scott Hatteberg","1B","1949.0","","0","","-3","-1","-4","268","194",".724","41","","","","","","-0.8","-0.7","3.8","2.3","1.3","-14.4","916"
"Shin-Soo Choo","CF","1333.0","","","1","-3","-16","-18","304","277",".911","72","","","","-10","-0.4","","-16.1","-0.4","-16.9","-17.0","-14.6","3174"
"Adam Dunn","1B","763.2","","0","","-1","-4","-5","51","41",".804","12","","","","","","-0.1","-6.1","-2.8","-9.0","-16.1","-15.5","319"
"Ryan Ludwick","LF","1931.1","","","-2","1","-10","-11","302","270",".894","95","","","","-8","-4.2","","-10.7","2.6","-12.3","-9.3","-22.2","1260"
"Wily Mo Pena","RF","848.1","","","-3","-2","-11","-16","284","167",".588","12","","","","","-2.1","","-15.3","-1.2","-18.6","-27.8","-22.9","344"
"Jonny Gomes","LF","1698.2","","","1","-3","-20","-22","303","260",".858","64","","","","-12","-1.6","","-14.4","0.6","-15.3","-11.5","-24.0","1845"
"Sean Casey","1B","4571.0","","0","","-1","2","0","483","371",".768","100","","","","","","-0.2","5.5","9.0","14.4","4.0","-24.8","314"
"Edwin Encarnacion","3B","4176.2","","0","","-1","-42","-45","965","619",".642","147","","","","-4","","-0.4","-23.2","-16.8","-40.4","-13.5","-33.2","2151"
"Jay Bruce","RF","10046.2","","","0","12","8","20","1920","1767",".920","569","","","","40","7.1","","0.0","-1.3","5.7","0.8","-46.0","9892"
"Ken Griffey Jr.","RF","1926.0","","","-5","-1","-14","-20","453","391",".863","56","","","","","-6.8","","-29.7","-1.2","-37.7","-24.0","-47.6","327"
"Ken Griffey Jr.","CF","3370.2","","","3","2","-48","-43","868","650",".749","120","","","","","-0.5","","-67.2","1.3","-66.4","-26.0","-60.6","327"
"Joey Votto","1B","12218.0","","-1","","6","42","40","1818","1407",".774","358","","","","14","","0.2","26.7","0.7","27.6","3.0","-77.1","4314"
"Adam Dunn","LF","7584.0","","","1","-14","-58","-71","1702","1216",".715","154","","","","","-12.4","","-36.0","-10.9","-59.3","-10.0","-98.3","319"
"Ramon Ortiz","P","171.1","2","","","0","2","5","","","","","","","","","","","","","","","","27"
"Scott Schoeneweis","P","14.1","0","","","0","0","0","","","","","","","","","","","","","","","","33"
"Ben Weber","P","12.1","0","","","0","0","0","","","","","","","","","","","","","","","","41"
"Jung Bong","P","15.1","0","","","0","0","1","","","","","","","","","","","","","","","","82"
"Chris Hammond","P","28.2","0","","","1","0","1","","","","","","","","","","","","","","","","92"
"Jason Marquis","P","47.1","0","","","0","0","0","","","","","","","","","","","","","","","","105"
"Jason Johnson","P","8.2","0","","","0","-1","-1","","","","","","","","","","","","","","","","147"
"Sun-Woo Kim","P","6.2","0","","","0","0","0","","","","","","","","","","","","","","","","197"
"Jose Acevedo","P","208.1","0","","","0","-2","-2","","","","","","","","","","","","","","","","307"
"Carlos Almanzar","P","11.2","0","","","0","0","0","","","","","","","","","","","","","","","","308"
"Jim Brower","P","39.1","0","","","0","0","0","","","","","","","","","","","","","","","","313"
"Elmer Dessens","P","178.0","0","","","0","0","0","","","","","","","","","","","","","","","","317"
"Seth Etherton","P","30.0","0","","","0","1","1","","","","","","","","","","","","","","","","322"
"Jared Fernandez","P","51.2","0","","","0","0","0","","","","","","","","","","","","","","","","324"
"Danny Graves","P","354.1","1","","","0","6","7","","","","","","","","","","","","","","","","326"
"Joey Hamilton","P","135.1","0","","","0","-1","-1","","","","","","","","","","","","","","","","328"
"Jimmy Haynes","P","306.0","0","","","0","-1","-2","","","","","","","","","","","","","","","","329"
"Luis Pineda","P","32.1","0","","","0","0","0","","","","","","","","","","","","","","","","346"
"Brian Reith","P","87.1","0","","","-1","1","-2","","","","","","","","","","","","","","","","347"
"Chris Reitsma","P","222.1","0","","","0","-3","-3","","","","","","","","","","","","","","","","348"
"Jose Rijo","P","77.0","0","","","0","0","0","","","","","","","","","","","","","","","","349"
"Jose Silva","P","23.1","0","","","0","0","0","","","","","","","","","","","","","","","","354"
"Scott Sullivan","P","128.1","0","","","0","2","2","","","","","","","","","","","","","","","","357"
"Gabe White","P","127.2","0","","","0","0","1","","","","","","","","","","","","","","","","360"
"Scott Williamson","P","116.1","0","","","0","0","0","","","","","","","","","","","","","","","","361"
"Todd Jones","P","57.0","0","","","0","-1","-1","","","","","","","","","","","","","","","","436"
"Kent Mercker","P","142.0","0","","","0","1","-2","","","","","","","","","","","","","","","","439"
"Victor Santos","P","49.0","0","","","0","0","0","","","","","","","","","","","","","","","","446"
"Rick White","P","27.1","0","","","0","2","2","","","","","","","","","","","","","","","","456"
"Brian Moehler","P","43.1","0","","","0","0","0","","","","","","","","","","","","","","","","480"
"Adam Pettyjohn","P","4.0","0","","","0","0","0","","","","","","","","","","","","","","","","489"
"Ryan Dempster","P","204.1","1","","","0","-1","-1","","","","","","","","","","","","","","","","517"
"Ricky Stone","P","36.0","0","","","0","0","0","","","","","","","","","","","","","","","","576"
"Jeremy Affeldt","P","78.1","-1","","","0","2","1","","","","","","","","","","","","","","","","583"
"Jeff Austin","P","28.1","0","","","0","0","0","","","","","","","","","","","","","","","","587"
"Jeremy Horst","P","15.1","0","","","0","0","0","","","","","","","","","","","","","","","","596"
"Eddie Guardado","P","27.2","0","","","0","1","1","","","","","","","","","","","","","","","","727"
"Kyle Lohse","P","194.2","1","","","0","-1","0","","","","","","","","","","","","","","","","739"
"Joe Mays","P","27.0","0","","","0","0","0","","","","","","","","","","","","","","","","740"
"Eric Milton","P","370.1","-1","","","0","-2","-3","","","","","","","","","","","","","","","","743"
"Scott Randall","P","27.2","0","","","0","1","1","","","","","","","","","","","","","","","","749"
"Bruce Chen","P","39.2","0","","","0","0","0","","","","","","","","","","","","","","","","769"
"Brandon Claussen","P","309.2","-2","","","0","-3","-5","","","","","","","","","","","","","","","","814"
"Robert Manuel","P","4.1","0","","","0","0","0","","","","","","","","","","","","","","","","817"
"Randy Keisler","P","56.0","0","","","0","1","1","","","","","","","","","","","","","","","","830"
"Mike Stanton","P","57.2","0","","","0","-2","-3","","","","","","","","","","","","","","","","849"
"John Bale","P","46.1","-1","","","0","1","0","","","","","","","","","","","","","","","","864"
"Shawn Estes","P","28.0","0","","","0","0","0","","","","","","","","","","","","","","","","873"
"David Weathers","P","336.1","0","","","0","-2","-1","","","","","","","","","","","","","","","","902"
"Cory Lidle","P","149.0","0","","","1","3","6","","","","","","","","","","","","","","","","926"
"Rheal Cormier","P","17.0","0","","","0","0","0","","","","","","","","","","","","","","","","952"
"Jimmy Anderson","P","38.2","0","","","0","1","1","","","","","","","","","","","","","","","","977"
"Bronson Arroyo","P","1761.1","8","","","2","16","32","","","","","","","","","","","","","","","","978"
"Josh Fogg","P","78.1","0","","","0","0","0","","","","","","","","","","","","","","","","989"
"Josias Manzanillo","P","10.2","0","","","0","-1","-1","","","","","","","","","","","","","","","","996"
"Kip Wells","P","46.1","-1","","","0","0","-1","","","","","","","","","","","","","","","","1012"
"Dave Williams","P","40.0","0","","","0","2","2","","","","","","","","","","","","","","","","1013"
"Ryan Franklin","P","24.1","0","","","0","-1","-1","","","","","","","","","","","","","","","","1076"
"Arthur Rhodes","P","108.1","0","","","0","0","0","","","","","","","","","","","","","","","","1097"
"Mike Matthews","P","30.0","0","","","0","0","-2","","","","","","","","","","","","","","","","1170"
"Jason Standridge","P","49.2","0","","","0","-1","-1","","","","","","","","","","","","","","","","1229"
"Paul Wilson","P","396.2","1","","","1","-1","1","","","","","","","","","","","","","","","","1234"
"Esteban Yan","P","15.0","0","","","0","1","1","","","","","","","","","","","","","","","","1236"
"Francisco Cordero","P","279.1","-2","","","0","-3","-4","","","","","","","","","","","","","","","","1243"
"Aaron Myette","P","4.1","0","","","0","0","0","","","","","","","","","","","","","","","","1263"
"Todd Van Poppel","P","151.0","0","","","0","0","-1","","","","","","","","","","","","","","","","1284"
