"Name","Pos","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","playerid"
"Chris Sexton","3B","3","3","24.0","2","4","0","","","0","","","","","","","","","1.000","0","1011771"
"Wally Shaner","1B","8","","","74","1","0","","","9","","","","","","","","","1.000","0","1011789"
"Jimmy Shevlin","1B","17","","","132","10","1","","","11","","","","","","","","",".993","0","1011888"
"Ed Sicking","3B","2","","","1","2","1","","","0","","","","","","","","",".750","0","1011946"
"Frank Sigafoos","SS","2","","","0","1","0","","","0","","","","","","","","","1.000","0","1011961"
"Gordon Slade","2B","58","","","125","163","3","","","29","","","","","","","","",".990","0","1012047"
"Gordon Slade","3B","7","","","2","6","0","","","0","","","","","","","","","1.000","0","1012047"
"Bob Smith","SS","1","","","0","0","0","","","0","","","","","","","","",".000","0","1012100"
"Hal Smith","C","20","18","160.2","105","8","2","","","1","","","","","7","5","2","4",".983","0","1012155"
"Jimmy Smith","2B","4","","","6","5","1","","","2","","","","","","","","",".917","0","1012162"
"Jimmy Smith","3B","6","","","2","5","0","","","0","","","","","","","","","1.000","0","1012162"
"Jimmy Smith","SS","5","","","9","16","1","","","3","","","","","","","","",".962","0","1012162"
"Jud Smith","3B","6","","","0","11","3","","","3","","","","","","","","",".786","0","1012168"
"Jud Smith","SS","1","","","1","2","1","","","0","","","","","","","","",".750","0","1012168"
"Milt Smith","2B","5","","","9","7","0","","","0","","","","","","","","","1.000","0","1012180"
"Joe Sommer","3B","3","","","4","6","2","","","0","","","","","","","","",".833","0","1012275"
"Harry Spies","1B","2","","","11","2","1","","","3","","","","","","","","",".929","0","1012339"
"Harry Spilman","C","1","0","2.0","0","0","0","","","0","","","","","0","0","0","1",".000","0","1012343"
"Larry Stahl","1B","2","1","10.0","17","0","0","","","1","","","","","","","","","1.000","0","1012383"
"Larry Stahl","CF","4","2","23.0","4","0","0","","","0","","","","","","","","","1.000","0","1012383"
"Larry Stahl","LF","3","0","6.0","1","0","0","","","0","","","","","","","","","1.000","0","1012383"
"Larry Stahl","RF","23","13","128.2","25","3","0","","","2","","","","","","","","","1.000","0","1012383"
"Oscar Stanage","C","1","","","1","0","0","","","0","","","","","","","0","","1.000","0","1012394"
"Ecky Stearns","2B","2","","","7","2","1","","","0","","","","","","","","",".900","0","1012445"
"Ecky Stearns","SS","1","","","2","4","0","","","0","","","","","","","","","1.000","0","1012445"
"Harry Steinfeldt","1B","5","","","28","2","1","","","2","","","","","","","","",".968","0","1012466"
"Justin Stein","2B","2","","","5","3","0","","","0","","","","","","","","","1.000","0","1012469"
"Justin Stein","SS","7","","","5","13","3","","","2","","","","","","","","",".857","0","1012469"
"Jimmy Stewart","LF","109","23","362.1","64","3","2","","","0","","","","","","","","",".971","0","1012522"
"Jimmy Stewart","SS","1","0","1.0","0","0","0","","","0","","","","","","","","",".000","0","1012522"
"Mark Stewart","C","1","","","0","0","0","","","0","","","","","","","0","",".000","0","1012525"
"Joe Stripp","1B","84","","","804","44","4","","","91","","","","","","","","",".995","0","1012623"
"Joe Stripp","2B","2","","","0","0","0","","","0","","","","","","","","",".000","0","1012623"
"Joe Stripp","SS","1","","","0","1","0","","","0","","","","","","","","","1.000","0","1012623"
"Lena Styles","1B","1","","","2","0","0","","","0","","","","","","","","","1.000","0","1012660"
"Tom Sullivan","C","1","","","1","0","0","","","0","","","","","","","1","","1.000","0","1012716"
