"Name","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Kent Peterson","13","37","3","129","43","386.1","4.22","4.47","0.70",".286","65.6 %","","","4.92","4.23","","2.6","1010234"
"Ray Fisher","24","16","2","59","42","375.1","2.33","2.11","0.24",".242","69.3 %","","","2.47","3.23","","2.6","1004095"
"Gerry Arrigo","24","27","3","118","57","431.2","5.78","4.29","0.71",".282","73.0 %","","","3.86","3.75","","2.5","1000326"
"Jim McGlothlin","34","33","0","120","90","589.2","4.23","3.13","0.95",".275","73.5 %","","","3.89","4.02","","2.4","1008532"
"Clarence Mitchell","20","25","1","61","44","354.0","2.26","2.01","0.20",".284","67.4 %","","","3.18","2.85","","2.4","1008998"
"Sam LeCure","10","16","1","250","10","320.2","8.42","3.48","0.87",".285","76.1 %","46.0 %","10.2 %","3.51","3.75","3.74","2.3","4664"
"Ownie Carroll","13","29","1","64","40","331.1","2.15","2.66","0.43",".300","61.6 %","","","4.84","4.22","","2.2","1002003"
"Doug Bair","23","21","50","220","0","318.2","7.20","4.10","0.71",".298","75.4 %","","","3.73","3.50","","2.2","1000439"
"Gabe White","18","12","11","268","9","329.1","7.32","1.94","1.56",".274","74.7 %","27.6 %","10.3 %","4.26","4.42","4.22","2.1","360"
"Jose Acevedo","16","21","0","68","54","304.1","6.57","2.87","1.72",".291","67.6 %","36.7 %","14.4 %","5.59","5.12","4.52","2.1","307"
"Johnny Hetki","11","15","1","99","19","314.2","3.06","3.43","0.57",".271","66.2 %","","","4.40","3.81","","2.1","1005752"
"Harry McCormick","22","17","0","40","40","348.1","1.40","1.78","0.13",".251","60.3 %","","","2.02","3.42","","2.0","1008414"
"Herm Wehmeier","49","69","8","222","148","1087.0","3.96","4.89","1.09",".276","68.3 %","","","5.25","4.92","","2.0","1013729"
"Mike Sullivan","20","15","1","48","34","350.0","2.47","4.55","0.33",".291","59.5 %","","","4.11","4.42","","2.0","1012708"
"Eric Milton","16","27","0","66","66","370.1","5.61","2.50","1.77",".295","66.0 %","31.2 %","11.8 %","5.83","5.34","5.08","2.0","743"
"Jimmy Haynes","17","25","0","57","56","306.0","5.38","4.26","1.12",".314","70.3 %","45.2 %","11.9 %","5.06","4.91","4.77","1.8","329"
"Tim Pugh","24","26","0","86","55","371.1","4.44","3.42","1.02",".307","69.4 %","","","4.92","4.75","","1.7","1010560"
"Charlie Leibrandt","16","17","2","82","42","315.2","3.02","3.39","0.54",".301","69.5 %","","","4.42","4.01","","1.7","1007492"
"Don Brennan","15","11","16","117","16","302.2","3.72","3.69","0.30",".302","65.6 %","","","3.90","4.03","","1.6","1001389"
"Gene Dale","21","21","3","66","40","366.1","3.12","3.44","0.22",".266","68.9 %","","","2.97","3.18","","1.5","1002938"
"Whitey Moore","30","28","4","124","60","501.0","4.08","5.05","0.45",".252","71.5 %","","","3.74","4.46","","1.4","1009131"
"Eddie Erautt","12","22","2","144","21","344.0","3.72","4.26","0.73",".304","66.8 %","","","4.71","4.29","","1.3","1003802"
"Wayne Granger","22","17","73","227","0","329.1","4.29","2.60","0.63",".269","73.2 %","","","2.92","3.43","","1.2","1004945"
"Wayne Simpson","26","15","0","72","69","423.2","5.31","4.40","0.87",".241","72.1 %","","","3.85","4.16","","1.2","1011999"
"Alfredo Simon","26","23","2","146","43","403.2","6.27","3.01","1.05",".285","74.1 %","48.7 %","12.0 %","4.06","4.49","4.31","0.9","2155"
"Jay Hook","17","28","0","79","56","376.2","4.47","3.44","1.39",".273","68.1 %","","","5.23","4.80","","0.3","1005999"
"Frank Smith","32","32","43","243","7","456.2","5.12","3.11","1.26",".236","71.7 %","","","3.86","4.37","","0.2","1012142"
"Tony Cloninger","27","33","1","110","77","526.1","4.70","4.75","0.91",".253","70.2 %","","","4.31","4.45","","0.0","1002359"
